material_type,weight_kg,quality,location,demand_level,historical_price,processing_cost,transportation_distance,month,seller_type,buyer_demand,material_condition,price_per_kg
E-waste,747.3,Medium,Bengaluru,Low,128.75,2.52,50.9,3,Business,0.85,Sorted,123.91
Glass,625.5,Industrial Grade,Mumbai,Low,7.68,3.92,110.1,9,Industrial Recycler,0.47,Mixed,3.2
Plastic,272.0,Industrial Grade,Chennai,High,32.87,14.73,17.3,3,Individual,0.62,Baled,44.85
Cardboard,725.8,High,Kolkata,Low,12.99,11.66,122.1,7,Industrial Recycler,0.94,Contaminated,5.6
Copper,1384.6,Industrial Grade,Coimbatore,Moderate,634.66,9.78,140.2,11,Industrial Recycler,0.71,Clean,875.37
Other,164.4,Low,Chennai,High,15.97,4.28,19.8,8,Industrial Recycler,0.96,Sorted,12.52
Paper,1762.1,Medium,Bengaluru,Low,11.33,13.14,8.1,3,Municipal Collector,0.38,Contaminated,4.8
Steel,257.3,Industrial Grade,Surat,Low,44.75,14.46,60.5,11,Industrial Recycler,0.82,Sorted,44.0
Aluminum,372.5,Medium,Mumbai,Moderate,174.38,12.84,132.2,8,Industrial Recycler,0.89,Contaminated,110.73
E-waste,108.3,Low,Coimbatore,Moderate,123.52,6.86,6.5,3,Municipal Collector,0.84,Clean,104.22
Glass,276.0,High,Ahmedabad,Moderate,7.59,11.13,42.3,8,Individual,0.6,Baled,3.51
Plastic,81.2,Medium,Delhi,Low,34.99,7.88,43.9,4,Industrial Recycler,0.52,Baled,29.38
Steel,264.9,Medium,Coimbatore,Low,42.29,7.19,16.7,7,Individual,0.4,Sorted,36.57
Other,558.9,Medium,Surat,Low,14.49,3.96,139.5,12,Industrial Recycler,0.35,Clean,9.27
Textile,51.7,Medium,Pune,High,27.71,7.23,106.7,11,Industrial Recycler,0.62,Clean,26.71
Steel,860.3,Industrial Grade,Bengaluru,Low,43.1,2.99,67.6,1,Industrial Recycler,0.74,Contaminated,31.87
Aluminum,1565.7,Low,Chennai,High,166.76,11.88,99.9,4,Individual,0.49,Clean,170.78
Cardboard,102.1,Medium,Bengaluru,High,14.63,12.77,18.7,3,Business,0.56,Contaminated,6.83
Paper,455.8,High,Delhi,Low,11.81,8.49,65.5,9,Individual,0.93,Sorted,7.0
Copper,276.6,High,Kolkata,Moderate,629.78,6.02,13.5,9,Industrial Recycler,0.39,Baled,758.48
Aluminum,268.6,High,Ahmedabad,High,174.63,5.18,81.0,11,Municipal Collector,0.53,Mixed,197.01
Textile,108.8,Industrial Grade,Chennai,Moderate,27.09,3.68,68.1,10,Industrial Recycler,0.43,Sorted,30.7
Other,50.2,Medium,Chennai,High,13.95,5.97,31.5,4,Individual,0.5,Mixed,11.12
Other,421.9,Low,Mumbai,High,15.91,8.64,75.4,12,Business,0.84,Baled,10.36
Copper,450.2,High,Bengaluru,Low,661.75,9.72,90.3,7,Municipal Collector,0.7,Mixed,605.92
Cardboard,231.9,High,Chennai,Low,14.84,2.74,84.7,12,Individual,0.6,Contaminated,7.08
Aluminum,61.3,Medium,Pune,High,171.17,9.01,113.5,4,Business,0.58,Clean,212.52
Copper,437.2,High,Pune,Low,691.51,13.52,44.2,3,Business,0.68,Sorted,766.85
Aluminum,195.7,Low,Delhi,Low,187.7,12.12,29.8,10,Individual,0.34,Baled,137.78
E-waste,97.4,Industrial Grade,Bengaluru,Low,126.87,14.14,114.7,8,Municipal Collector,0.42,Baled,137.11
Cardboard,472.8,Medium,Hyderabad,Low,14.55,7.3,123.1,4,Municipal Collector,0.65,Baled,7.64
Copper,62.0,Industrial Grade,Chennai,Moderate,678.81,5.96,67.9,4,Municipal Collector,0.3,Contaminated,615.54
Copper,61.8,Medium,Hyderabad,Low,667.99,3.98,108.9,4,Individual,0.89,Contaminated,417.91
Plastic,343.9,Low,Kolkata,Moderate,36.32,14.19,52.2,8,Business,0.79,Contaminated,14.0
Textile,785.0,Industrial Grade,Coimbatore,Moderate,29.46,11.4,114.6,7,Business,0.42,Mixed,26.06
Cardboard,182.2,High,Surat,High,13.8,7.78,72.7,3,Business,0.62,Sorted,14.29
Cardboard,40.6,High,Surat,Low,13.55,9.03,98.3,9,Municipal Collector,0.76,Sorted,6.96
Steel,280.0,High,Delhi,Low,42.23,12.69,105.9,6,Municipal Collector,0.83,Contaminated,24.41
Other,1393.9,Low,Pune,High,15.22,10.02,34.6,8,Individual,0.92,Baled,10.12
Steel,577.8,Low,Delhi,High,43.6,11.93,97.3,11,Industrial Recycler,0.92,Sorted,35.1
Other,1523.2,High,Bengaluru,Moderate,16.19,9.67,64.7,10,Municipal Collector,0.34,Mixed,11.26
E-waste,31.2,Industrial Grade,Kolkata,High,119.96,10.92,71.3,10,Business,0.69,Mixed,136.32
Other,90.9,Low,Kolkata,Moderate,15.83,12.43,121.4,4,Business,0.38,Mixed,6.0
E-waste,309.8,Medium,Hyderabad,Moderate,120.64,8.97,111.3,7,Industrial Recycler,1.0,Sorted,117.26
Paper,48.1,High,Coimbatore,Moderate,12.59,10.32,29.2,10,Industrial Recycler,0.91,Sorted,9.98
Glass,477.5,Medium,Delhi,High,7.87,2.51,144.4,3,Individual,0.69,Clean,4.88
Aluminum,141.9,High,Kolkata,High,171.98,3.36,57.0,5,Industrial Recycler,0.69,Baled,244.15
Cardboard,312.2,Medium,Mumbai,Moderate,14.27,9.16,123.1,11,Municipal Collector,0.82,Clean,8.5
Paper,237.8,High,Hyderabad,Moderate,12.55,14.48,26.7,1,Municipal Collector,0.94,Baled,9.76
Aluminum,824.2,High,Delhi,High,190.64,9.7,63.5,11,Industrial Recycler,0.72,Contaminated,174.29
Plastic,519.1,High,Chennai,Moderate,36.82,9.35,42.9,9,Industrial Recycler,0.99,Sorted,39.48
Paper,787.2,Industrial Grade,Kolkata,Low,12.29,13.86,137.5,8,Business,0.67,Mixed,4.8
Steel,1604.4,Industrial Grade,Hyderabad,High,38.96,10.94,59.0,7,Business,0.49,Clean,57.27
Paper,409.5,Low,Delhi,High,11.85,6.46,44.8,8,Business,0.93,Sorted,6.87
Textile,511.3,Low,Delhi,Moderate,27.21,3.64,119.2,3,Business,0.54,Contaminated,11.39
Other,443.9,Industrial Grade,Delhi,High,14.1,13.12,31.7,3,Industrial Recycler,0.31,Mixed,12.99
Plastic,390.5,Medium,Mumbai,Moderate,33.9,13.71,49.6,8,Business,0.5,Sorted,28.91
Glass,148.6,Low,Pune,High,7.66,12.71,19.0,3,Municipal Collector,0.46,Baled,3.2
Aluminum,311.5,Industrial Grade,Pune,High,185.8,3.32,55.4,12,Industrial Recycler,0.9,Clean,289.64
Other,109.2,High,Delhi,Low,16.03,14.3,100.5,3,Individual,0.35,Clean,9.52
E-waste,264.5,Medium,Ahmedabad,Low,122.74,5.52,66.7,3,Municipal Collector,0.81,Contaminated,73.67
Other,46.3,Low,Kolkata,Moderate,14.53,9.6,29.8,6,Industrial Recycler,0.78,Baled,7.74
Glass,350.1,Medium,Chennai,High,7.47,6.79,52.5,9,Municipal Collector,0.35,Sorted,4.02
Glass,261.3,High,Pune,Low,7.94,5.36,91.9,5,Business,0.49,Baled,4.02
Plastic,372.3,Low,Mumbai,Moderate,36.98,11.51,131.7,8,Individual,0.51,Contaminated,14.0
E-waste,52.0,High,Surat,Low,127.7,5.76,33.9,8,Industrial Recycler,0.44,Sorted,127.65
Glass,437.4,Medium,Hyderabad,Low,7.47,4.83,23.1,4,Business,0.85,Mixed,3.48
Plastic,1072.0,Medium,Delhi,Low,37.18,8.58,79.4,1,Individual,0.87,Baled,31.91
Cardboard,45.0,High,Kolkata,High,14.12,5.71,33.5,8,Municipal Collector,0.43,Sorted,15.07
Copper,71.6,Low,Mumbai,High,694.36,10.59,52.4,7,Municipal Collector,0.81,Contaminated,448.02
E-waste,43.3,High,Pune,Low,115.76,4.44,104.4,7,Business,0.57,Clean,121.61
Copper,1479.1,Industrial Grade,Bengaluru,Low,604.79,9.66,122.3,10,Municipal Collector,0.52,Mixed,596.6
Plastic,60.2,Industrial Grade,Delhi,Low,37.27,5.41,120.1,11,Industrial Recycler,0.34,Contaminated,22.83
Other,113.1,High,Kolkata,High,15.19,8.24,85.3,10,Business,0.67,Clean,14.66
Plastic,241.7,Low,Kolkata,High,37.27,8.79,64.4,10,Business,0.42,Contaminated,17.75
Paper,2298.4,Industrial Grade,Surat,Low,11.75,7.95,94.2,11,Industrial Recycler,0.42,Sorted,8.17
Glass,96.9,Industrial Grade,Kolkata,Low,8.44,11.64,142.1,3,Industrial Recycler,0.34,Sorted,3.2
Steel,260.7,High,Kolkata,Low,42.88,10.61,100.7,10,Municipal Collector,0.35,Mixed,30.75
Steel,22.1,Low,Surat,Low,44.86,8.01,135.3,8,Individual,0.83,Baled,25.17
Cardboard,575.0,Low,Mumbai,Moderate,13.24,11.89,66.7,4,Business,1.0,Sorted,5.6
Cardboard,356.3,High,Coimbatore,High,13.85,6.44,81.6,4,Individual,0.68,Clean,16.05
Copper,288.5,Medium,Mumbai,Moderate,600.36,13.54,88.6,6,Business,0.86,Baled,653.68
Other,672.2,Medium,Surat,Moderate,15.87,3.92,58.7,1,Municipal Collector,0.95,Clean,15.13
Other,209.4,Medium,Pune,Moderate,15.61,11.76,78.2,12,Business,0.63,Contaminated,6.0
Aluminum,71.0,Low,Coimbatore,High,172.54,3.58,112.9,12,Municipal Collector,0.71,Contaminated,100.72
Aluminum,118.6,Medium,Mumbai,High,169.09,6.1,98.7,3,Municipal Collector,0.81,Baled,208.13
Aluminum,415.9,High,Kolkata,Moderate,167.36,5.68,22.8,12,Business,0.39,Baled,213.8
Plastic,342.3,Industrial Grade,Pune,Moderate,33.35,8.9,120.3,12,Business,0.83,Contaminated,22.01
Steel,782.6,Industrial Grade,Kolkata,High,40.04,9.39,91.9,12,Industrial Recycler,0.47,Clean,56.25
Other,2467.4,High,Kolkata,Low,15.82,14.7,146.4,6,Industrial Recycler,0.6,Clean,8.47
Glass,907.8,Low,Chennai,Low,7.84,7.02,53.5,11,Individual,0.71,Mixed,3.2
Other,147.2,Medium,Chennai,Moderate,15.43,7.11,47.1,7,Business,0.33,Sorted,11.35
Steel,1933.4,Medium,Ahmedabad,Moderate,41.47,9.08,129.0,1,Individual,0.84,Mixed,30.9
Textile,119.8,Industrial Grade,Mumbai,Moderate,26.9,6.91,80.6,3,Individual,0.35,Clean,32.7
Textile,676.3,High,Pune,High,29.67,6.35,134.3,11,Municipal Collector,0.74,Clean,36.82
Paper,292.4,Industrial Grade,Chennai,High,11.04,9.28,32.4,1,Industrial Recycler,0.64,Sorted,12.38
Plastic,835.2,High,Delhi,High,35.05,14.14,66.2,4,Municipal Collector,0.37,Sorted,42.98
Paper,1026.5,Low,Surat,High,12.14,14.05,120.2,6,Individual,0.7,Mixed,4.8
Aluminum,95.4,Industrial Grade,Surat,Moderate,182.01,13.96,145.0,11,Industrial Recycler,0.42,Mixed,190.27
Cardboard,288.8,Low,Mumbai,Low,14.8,6.56,114.4,6,Municipal Collector,0.47,Baled,5.6
Glass,386.6,Industrial Grade,Ahmedabad,Moderate,8.6,2.28,133.8,5,Business,0.86,Contaminated,3.2
Cardboard,2851.3,High,Coimbatore,Moderate,14.01,4.71,49.2,4,Industrial Recycler,0.67,Clean,15.99
Copper,272.1,Industrial Grade,Ahmedabad,Low,621.13,14.5,113.4,11,Municipal Collector,0.46,Contaminated,459.32
Textile,91.4,Low,Mumbai,Moderate,25.82,2.11,38.7,2,Business,0.94,Mixed,17.8
Glass,350.6,Medium,Coimbatore,Low,7.81,7.15,84.0,3,Municipal Collector,0.85,Baled,3.2
Aluminum,291.0,Low,Hyderabad,Low,175.86,11.41,93.6,2,Individual,0.62,Clean,139.06
Aluminum,448.5,Low,Coimbatore,High,189.76,10.96,105.1,12,Business,0.49,Sorted,169.41
Other,108.0,Medium,Hyderabad,Moderate,14.96,2.77,98.3,9,Industrial Recycler,0.73,Contaminated,6.89
Copper,442.3,Medium,Coimbatore,Moderate,613.71,9.25,110.9,10,Municipal Collector,0.57,Contaminated,404.56
Paper,137.9,Industrial Grade,Pune,High,12.56,12.95,148.8,2,Individual,0.43,Contaminated,4.8
Aluminum,434.9,Low,Chennai,High,166.62,10.08,82.4,2,Municipal Collector,0.51,Contaminated,101.21
Cardboard,171.3,Industrial Grade,Hyderabad,Low,13.77,3.94,73.9,1,Municipal Collector,0.79,Clean,13.45
Steel,815.4,High,Surat,High,44.64,5.07,118.0,6,Business,0.59,Contaminated,37.64
Steel,684.1,High,Delhi,Moderate,41.76,2.13,89.6,9,Individual,0.72,Baled,48.23
Aluminum,91.5,High,Bengaluru,Moderate,165.95,9.32,143.5,6,Individual,0.86,Clean,210.36
Plastic,171.5,Industrial Grade,Ahmedabad,High,35.23,3.42,28.2,3,Business,0.57,Clean,55.46
Aluminum,380.5,Industrial Grade,Ahmedabad,Low,189.32,2.32,31.9,3,Municipal Collector,0.52,Clean,234.23
Paper,190.0,Industrial Grade,Surat,Moderate,11.17,14.91,84.3,3,Business,0.88,Clean,7.5
E-waste,188.2,Low,Coimbatore,High,116.03,11.87,124.6,3,Municipal Collector,0.85,Sorted,104.64
Steel,683.3,Medium,Delhi,High,44.76,4.35,25.9,1,Business,0.49,Sorted,52.75
Copper,1439.1,Medium,Mumbai,Low,647.34,12.37,124.4,12,Industrial Recycler,0.43,Clean,642.29
Other,115.8,High,Delhi,Low,14.34,6.11,95.7,11,Individual,0.39,Contaminated,6.0
Textile,511.3,High,Kolkata,Low,26.97,10.8,145.7,1,Industrial Recycler,0.54,Mixed,16.91
Glass,419.8,Low,Bengaluru,Moderate,7.77,10.68,20.4,2,Business,0.95,Clean,3.2
Other,1154.5,High,Mumbai,Moderate,14.79,8.97,93.0,12,Municipal Collector,0.64,Contaminated,6.0
Textile,129.3,Industrial Grade,Delhi,High,26.97,8.5,136.6,1,Municipal Collector,0.62,Contaminated,19.97
Aluminum,474.3,Medium,Surat,Low,183.45,8.38,87.9,2,Business,0.7,Mixed,147.77
Copper,850.8,Industrial Grade,Delhi,High,695.06,11.93,111.9,10,Business,0.84,Sorted,1044.34
Plastic,1241.2,Industrial Grade,Hyderabad,Low,33.71,5.62,147.0,6,Individual,0.61,Baled,34.83
E-waste,444.5,High,Hyderabad,High,115.67,7.33,145.0,10,Business,0.43,Baled,152.13
Aluminum,130.7,Medium,Ahmedabad,High,166.02,3.93,141.1,11,Individual,0.93,Clean,193.76
Aluminum,161.8,Medium,Coimbatore,High,188.45,6.9,84.5,1,Business,0.82,Contaminated,147.8
Textile,463.4,Industrial Grade,Surat,Low,29.2,8.77,5.5,1,Business,0.7,Contaminated,18.73
Copper,298.0,High,Coimbatore,High,607.6,13.13,89.0,1,Municipal Collector,0.7,Sorted,832.52
Steel,65.9,Medium,Hyderabad,Low,42.21,9.57,112.6,8,Municipal Collector,0.84,Contaminated,18.1
E-waste,114.3,High,Mumbai,High,128.5,14.36,148.4,9,Industrial Recycler,0.91,Mixed,131.05
Cardboard,186.5,Industrial Grade,Hyderabad,Moderate,14.71,13.98,12.3,1,Municipal Collector,0.98,Mixed,11.04
Cardboard,275.7,Low,Chennai,High,13.88,5.18,109.8,2,Municipal Collector,0.95,Contaminated,5.6
Cardboard,821.4,High,Mumbai,High,15.04,11.87,77.7,6,Industrial Recycler,0.52,Sorted,14.34
Aluminum,1369.7,Medium,Chennai,Low,173.6,11.91,34.5,6,Business,0.59,Sorted,161.51
E-waste,435.7,Low,Mumbai,Low,118.16,5.55,134.1,10,Industrial Recycler,0.61,Mixed,70.94
Aluminum,563.9,High,Mumbai,Low,185.94,12.53,109.5,11,Individual,0.68,Clean,203.44
Copper,2916.2,Medium,Kolkata,Low,698.69,11.97,91.5,8,Individual,0.4,Contaminated,438.83
Textile,656.8,Medium,Kolkata,Low,29.81,10.95,77.0,2,Industrial Recycler,0.63,Clean,24.25
Glass,45.2,Medium,Hyderabad,Moderate,7.74,2.23,149.4,6,Individual,0.41,Mixed,3.2
Copper,151.4,Medium,Chennai,Low,605.22,7.44,21.8,9,Industrial Recycler,0.42,Baled,554.74
Glass,144.6,Low,Delhi,High,8.13,2.79,133.1,2,Industrial Recycler,0.45,Baled,3.2
Paper,94.3,Industrial Grade,Chennai,High,11.92,8.79,86.4,3,Business,0.32,Mixed,9.35
Steel,581.8,Medium,Chennai,Low,44.72,2.38,18.0,6,Municipal Collector,0.96,Contaminated,27.86
Glass,156.6,High,Delhi,Low,8.5,12.59,37.5,6,Municipal Collector,0.94,Mixed,3.2
Paper,207.4,Low,Mumbai,Low,11.88,3.88,30.8,11,Business,0.99,Mixed,5.22
Paper,284.4,Industrial Grade,Pune,High,12.47,8.49,6.0,4,Business,0.74,Clean,16.62
Plastic,200.8,Low,Hyderabad,High,34.95,7.48,86.0,6,Industrial Recycler,0.59,Mixed,23.08
Steel,781.4,Medium,Ahmedabad,High,45.27,7.13,143.1,11,Individual,0.66,Sorted,47.81
Textile,1705.4,Industrial Grade,Bengaluru,Low,29.91,3.0,45.0,3,Municipal Collector,0.92,Sorted,35.38
Textile,270.1,Industrial Grade,Ahmedabad,Moderate,28.35,10.61,125.3,8,Industrial Recycler,0.75,Baled,30.13
Glass,673.4,High,Kolkata,Moderate,7.75,8.28,77.6,5,Business,0.4,Clean,4.51
Plastic,447.9,Low,Coimbatore,High,36.42,13.42,110.3,5,Industrial Recycler,0.68,Sorted,27.02
Copper,207.1,Medium,Mumbai,Moderate,635.12,6.63,112.0,10,Municipal Collector,0.7,Clean,664.08
Steel,298.8,High,Mumbai,Low,39.32,11.96,123.7,11,Industrial Recycler,0.8,Mixed,28.54
E-waste,152.1,Medium,Kolkata,Low,123.24,2.03,72.2,3,Business,0.46,Baled,120.38
Plastic,279.9,Low,Chennai,Moderate,34.55,9.63,79.9,9,Individual,0.32,Baled,22.64
Textile,784.8,Industrial Grade,Chennai,High,26.48,4.36,149.0,2,Industrial Recycler,0.91,Sorted,34.79
Paper,1219.8,Medium,Hyderabad,High,11.64,7.22,22.2,1,Individual,0.82,Sorted,11.27
Cardboard,1156.5,Industrial Grade,Bengaluru,High,14.01,10.34,108.5,2,Municipal Collector,0.34,Clean,15.49
Aluminum,955.8,Medium,Chennai,High,183.54,12.76,69.8,10,Individual,0.94,Contaminated,133.03
Aluminum,52.2,High,Coimbatore,Moderate,189.02,14.18,48.2,4,Business,0.47,Clean,231.27
E-waste,352.9,High,Coimbatore,Moderate,117.85,10.19,20.2,12,Municipal Collector,0.95,Baled,144.19
Glass,210.6,High,Surat,Moderate,7.96,14.72,46.3,11,Business,0.67,Baled,3.2
Glass,847.3,High,Ahmedabad,High,8.26,8.89,37.4,6,Individual,0.32,Clean,7.4
Steel,998.4,Industrial Grade,Ahmedabad,Low,39.02,9.78,118.0,3,Business,0.46,Baled,42.81
Copper,993.3,Industrial Grade,Kolkata,Moderate,646.88,12.13,79.2,12,Business,0.88,Clean,910.36
Steel,606.1,Medium,Mumbai,Low,39.97,3.57,76.1,8,Municipal Collector,0.54,Baled,34.8
Plastic,1470.4,High,Coimbatore,Moderate,35.97,9.11,120.7,3,Business,0.8,Mixed,32.08
Glass,367.2,Low,Coimbatore,Low,7.74,10.7,99.4,3,Business,0.86,Mixed,3.2
Steel,538.8,Medium,Chennai,High,41.22,12.26,89.8,7,Individual,0.77,Mixed,33.65
Textile,207.0,Low,Ahmedabad,Moderate,28.82,7.75,61.4,1,Municipal Collector,0.35,Mixed,16.4
Other,830.7,High,Bengaluru,Low,15.81,11.57,51.7,2,Industrial Recycler,0.93,Contaminated,6.0
Steel,562.8,Industrial Grade,Coimbatore,High,44.96,2.6,33.7,4,Municipal Collector,0.87,Clean,71.4
Cardboard,716.8,Low,Chennai,Moderate,13.19,4.89,83.0,10,Individual,0.68,Contaminated,5.6
Paper,90.6,High,Mumbai,High,12.59,9.81,112.1,2,Business,0.87,Contaminated,4.8
Glass,630.5,Medium,Pune,High,8.34,11.36,59.7,2,Business,0.8,Clean,4.68
Textile,165.4,Low,Hyderabad,Low,27.24,9.99,130.8,11,Individual,0.52,Mixed,11.2
Copper,1052.0,High,Chennai,Moderate,677.95,7.47,137.3,5,Business,0.41,Clean,896.3
Cardboard,965.6,Industrial Grade,Hyderabad,Moderate,14.93,11.68,53.9,9,Municipal Collector,0.38,Clean,14.91
Cardboard,261.8,High,Chennai,Moderate,14.14,6.84,39.0,3,Industrial Recycler,0.65,Mixed,11.51
Glass,418.0,Low,Coimbatore,High,7.65,8.0,122.8,11,Municipal Collector,0.57,Sorted,3.2
Steel,124.9,Low,Mumbai,Moderate,38.89,8.09,117.1,7,Industrial Recycler,0.35,Sorted,25.63
Copper,483.6,High,Kolkata,High,625.41,7.0,22.8,8,Business,0.76,Mixed,745.47
Cardboard,328.9,Medium,Hyderabad,Low,13.39,5.99,75.6,2,Business,0.31,Mixed,6.55
Steel,637.9,Industrial Grade,Kolkata,High,41.22,10.73,107.3,6,Industrial Recycler,0.41,Sorted,55.35
Steel,75.7,Low,Bengaluru,Moderate,40.66,8.71,32.0,8,Municipal Collector,0.33,Sorted,29.06
Textile,617.1,Industrial Grade,Ahmedabad,High,26.4,10.88,134.4,11,Business,0.96,Sorted,31.58
Plastic,245.5,Low,Ahmedabad,Low,32.9,6.66,105.3,7,Municipal Collector,0.93,Contaminated,14.0
Textile,79.7,Industrial Grade,Coimbatore,High,30.21,14.17,80.0,5,Municipal Collector,0.71,Baled,38.45
Plastic,281.9,Medium,Pune,Low,32.34,6.51,42.7,4,Industrial Recycler,0.67,Clean,28.86
Other,519.0,Medium,Chennai,High,16.08,7.84,91.4,6,Municipal Collector,0.84,Mixed,10.85
Glass,177.7,Medium,Coimbatore,Moderate,7.95,9.74,73.7,12,Municipal Collector,0.8,Sorted,3.2
Glass,269.7,Low,Surat,Moderate,8.36,5.14,130.1,12,Business,0.48,Contaminated,3.2
Steel,95.0,Industrial Grade,Ahmedabad,Moderate,39.82,2.78,34.9,12,Individual,0.96,Contaminated,32.67
Steel,1880.3,Industrial Grade,Ahmedabad,High,42.72,8.37,99.4,6,Business,0.98,Clean,62.59
Copper,250.3,Industrial Grade,Bengaluru,High,628.05,6.84,133.0,10,Industrial Recycler,0.89,Contaminated,584.54
Textile,387.6,Medium,Chennai,Moderate,28.38,2.1,143.5,7,Individual,0.86,Clean,25.63
Steel,310.5,High,Surat,Low,44.62,14.96,7.0,9,Municipal Collector,0.43,Contaminated,25.08
Textile,374.4,Low,Delhi,High,27.84,2.93,8.7,9,Business,0.92,Mixed,21.43
Aluminum,94.5,Medium,Ahmedabad,Moderate,192.71,10.91,133.8,1,Individual,0.5,Clean,207.34
Plastic,472.4,Medium,Bengaluru,Moderate,33.45,6.9,137.9,5,Municipal Collector,0.38,Contaminated,17.12
E-waste,288.2,Medium,Delhi,Moderate,114.67,2.07,137.8,4,Municipal Collector,0.69,Baled,127.79
Textile,128.9,Low,Pune,High,28.22,12.63,110.6,10,Individual,0.38,Sorted,17.39
Other,878.1,Medium,Ahmedabad,High,14.23,11.86,27.9,12,Individual,0.9,Baled,11.98
Steel,326.3,High,Coimbatore,High,41.52,9.32,146.4,5,Industrial Recycler,0.39,Mixed,43.27
Textile,168.3,Industrial Grade,Bengaluru,Moderate,27.12,9.19,130.1,8,Industrial Recycler,0.98,Mixed,22.45
Other,213.5,Industrial Grade,Coimbatore,Low,15.11,8.57,109.8,8,Industrial Recycler,0.51,Sorted,11.0
Aluminum,473.2,Industrial Grade,Coimbatore,Moderate,186.19,2.13,11.5,3,Municipal Collector,0.37,Mixed,220.37
Steel,1287.2,High,Pune,High,38.86,5.1,132.9,5,Business,0.48,Contaminated,31.13
Other,231.6,High,Bengaluru,High,14.22,5.21,143.8,6,Individual,0.97,Baled,13.25
Plastic,20.1,Low,Pune,High,37.65,6.47,121.8,11,Individual,0.38,Clean,29.0
Plastic,1252.6,Low,Hyderabad,Moderate,36.73,12.57,89.2,7,Business,0.5,Sorted,24.36
Plastic,111.9,Medium,Mumbai,High,34.59,4.12,62.1,4,Individual,0.31,Contaminated,24.84
Cardboard,84.1,High,Chennai,Low,14.57,12.25,125.6,3,Individual,0.36,Sorted,7.27
Other,1341.2,High,Pune,Moderate,13.94,3.74,92.2,10,Municipal Collector,0.4,Mixed,10.34
E-waste,301.5,Industrial Grade,Ahmedabad,High,111.66,5.61,90.3,5,Municipal Collector,0.31,Contaminated,108.33
Steel,234.5,Low,Ahmedabad,Low,42.58,12.36,95.2,6,Individual,0.43,Clean,24.79
E-waste,254.9,High,Pune,High,118.53,3.67,109.8,4,Municipal Collector,0.97,Contaminated,110.16
E-waste,78.6,Low,Mumbai,Low,123.86,13.77,19.9,7,Municipal Collector,0.92,Contaminated,55.7
Textile,38.1,High,Coimbatore,High,29.7,10.58,91.0,10,Business,0.93,Mixed,25.95
Glass,830.8,Medium,Bengaluru,High,7.65,6.6,20.4,12,Individual,0.53,Sorted,6.0
Aluminum,228.7,Low,Bengaluru,Moderate,172.45,3.37,89.4,2,Individual,0.89,Clean,160.76
Cardboard,375.5,Industrial Grade,Bengaluru,Low,13.72,14.66,72.6,5,Municipal Collector,0.82,Mixed,5.89
Steel,1008.2,Medium,Mumbai,Low,44.9,6.18,120.7,11,Individual,0.85,Clean,38.26
Other,2267.7,Medium,Ahmedabad,Moderate,15.79,10.24,67.6,1,Municipal Collector,0.44,Clean,12.91
Plastic,350.1,Medium,Pune,Low,32.52,10.03,56.9,2,Municipal Collector,0.54,Contaminated,15.45
Cardboard,2442.7,Low,Kolkata,Moderate,13.68,12.21,97.3,6,Business,0.67,Mixed,5.6
Plastic,994.3,Medium,Ahmedabad,Low,36.34,4.23,63.7,3,Municipal Collector,0.49,Sorted,32.56
E-waste,232.0,Medium,Mumbai,High,116.52,10.29,130.0,4,Industrial Recycler,0.56,Baled,137.35
Other,23.5,Industrial Grade,Bengaluru,Low,14.06,2.11,131.1,3,Individual,0.43,Contaminated,6.0
Textile,874.3,Medium,Kolkata,Moderate,29.71,11.89,32.4,7,Individual,0.75,Sorted,25.87
Copper,225.7,Medium,Chennai,High,599.19,4.28,87.6,5,Industrial Recycler,0.31,Contaminated,465.38
Textile,153.0,Industrial Grade,Coimbatore,Low,29.88,2.0,64.4,3,Municipal Collector,0.92,Contaminated,20.7
Aluminum,55.3,Low,Chennai,High,166.14,10.41,126.2,8,Individual,0.46,Mixed,122.05
Copper,192.2,High,Hyderabad,Low,616.47,9.0,115.6,6,Individual,0.41,Clean,669.74
E-waste,290.1,High,Delhi,Low,110.81,7.46,105.8,1,Individual,0.67,Clean,123.57
E-waste,1198.5,Industrial Grade,Mumbai,Moderate,118.43,10.91,21.1,7,Municipal Collector,0.89,Clean,161.6
E-waste,359.6,Industrial Grade,Hyderabad,Moderate,110.6,14.21,81.2,12,Industrial Recycler,0.7,Contaminated,89.07
Plastic,1553.1,Industrial Grade,Delhi,High,33.02,7.53,69.5,2,Industrial Recycler,0.46,Contaminated,29.47
Copper,51.1,Medium,Coimbatore,Moderate,627.44,10.02,140.8,11,Business,0.37,Contaminated,405.61
Textile,213.1,Low,Delhi,High,26.28,12.62,45.0,6,Business,0.82,Contaminated,11.2
E-waste,109.7,Medium,Kolkata,Moderate,128.04,7.46,74.1,6,Municipal Collector,0.32,Mixed,109.29
Plastic,523.8,Low,Surat,Moderate,36.73,13.44,123.7,1,Individual,0.63,Baled,24.25
Glass,86.1,High,Coimbatore,Low,8.15,8.43,126.2,2,Municipal Collector,0.43,Baled,3.2
Paper,413.3,Medium,Kolkata,High,11.55,5.47,69.6,4,Industrial Recycler,0.84,Clean,10.57
Steel,60.5,Medium,Pune,Moderate,40.36,7.05,77.6,4,Municipal Collector,0.7,Sorted,37.78
Aluminum,981.9,Medium,Hyderabad,Moderate,181.71,3.78,127.1,7,Industrial Recycler,0.33,Sorted,190.86
